Date,Target_Site,Milestone_Category,Description,Source_URL
08/2025,"Barker, NY (Lake Mariner)",Permitting,Wulf Compute LLC submits a Planned Use Development (PUD) minor amendment to the Town of Somerset.,https://www.somersetny.gov/sites/g/files/vyhlif3826/f/agendas/pb_agenda_8.7.25_2.pdf
03/2026,"Barker, NY (Lake Mariner)",Construction,Building CB-4 (168MW) topped out.,https://www.datacenterdynamics.com/en/news/terawulf-tops-out-latest-data-center-at-lake-mariner-campus-in-new-york/
05/2021,"Grand Forks, ND (Core Scientific)",Project & Strategy,Core Scientific announces expansion into North Dakota.,https://www.datacenterdynamics.com/en/news/blockchain-company-given-270000-loan-for-new-data-center-in-grand-forks-north-dakota/
11/2021,"Grand Forks, ND (Core Scientific)",Construction,Data center placed into service.,https://investors.corescientific.com/news-events/press-releases/detail/31/core-scientific-announces-march-updates-and-cfo-transition
03/2022,"Grand Forks, ND (Core Scientific)",Operations,Reached full operating capacity.,https://investors.corescientific.com/news-events/press-releases/detail/31/core-scientific-announces-march-updates-and-cfo-transition
08/2025,"Warren, OH (Lordstown)",Land Acquisition,Foxconn sells Lordstown plant to Crescent Dune LLC for $375 million.,https://www.reuters.com/business/autos-transportation/foxconn-sells-lordstown-facility-88-million-continue-occupy-premises-2025-08-04/
09/2025,"Warren, OH (Lordstown)",Land Acquisition,Crescent Dune LLC officially takes title to the former General Motors assembly complex and nearly 600 acres.,https://businessjournaldaily.com/softbank-affiliate-takes-title-to-lordstown-plant/
01/2026,"Warren, OH (Lordstown)",Permitting,Lordstown Village Council places a six-month moratorium on new data centers.,https://www.wfmj.com/archives/lordstown-council-approves-six-month-pause-on-new-data-centers/article_96b4284b-f95e-5b96-a60f-2d22d8c20840.html
03/2026,"Warren, OH (Lordstown)",Permitting,Lordstown council considers an emergency ordinance to ban data centers.,https://www.wfmj.com/archives/lordstown-looks-to-pass-emergency-ordinance-to-ban-data-centers-with-some-exemptions/article_f77fedde-94c6-5ad3-aff3-5db1b7883b7a.html
09/2025,"Saline, MI (Stargate)",Zoning,Protestors attend Saline Township Board of Trustees meeting to oppose the data center.,https://www.wkar.org/michigans-data-center-divide/2026-03-06/michigan-towns-grappling-with-data-centers-get-new-planning-guide
10/2025,"Saline, MI (Stargate)",Permitting,EGLE issues a permit waiver to Related Digital.,https://planetdetroit.org/2026/02/saline-data-center-air-wetlands-permits/
10/2025,"Saline, MI (Stargate)",Project & Strategy,"Stargate Michigan campus is announced by Related Digital, with construction expected to begin in early 2026.",https://www.michiganpublic.org/economy/2025-10-30/massive-data-center-project-announced-for-michigan
12/2025,"Saline, MI (Stargate)",Project & Strategy,Oracle is announced as the future tenant of the data center.,https://www.oracle.com/news/announcement/blog/oracle-is-set-to-power-on-new-data-center-in-michigan-2025-1018/
01/2026,"Saline, MI (Stargate)",Zoning,Saline Township planning commission approves a six-month moratorium on data centers.,https://www.facebook.com/groups/2354391581661289/posts/2407384316362015/
01/2026,"Saline, MI (Stargate)",Zoning,Saline Township Board votes to maintain agricultural zoning for the property.,https://www.youtube.com/watch?v=4QymHbPrUBI
01/2026,"Saline, MI (Stargate)",Zoning,Saline Township rescinds the industrial zoning for the data center property.,https://thesuntimesnews.com/saline-twp-rescinds-industrial-zoning-ends-data-center-referendum-path/
02/2026,"Saline, MI (Stargate)",Permitting,News article reports on air and water permits for the data center.,https://planetdetroit.org/2026/02/saline-data-center-air-wetlands-permits/
03/2026,"Saline, MI (Stargate)",Construction,Concrete batch plant is expected to be operational.,http://salinetownship.org/data-center-update
03/2026,"Saline, MI (Stargate)",Construction,"Residents raise concerns about truck traffic, noise, and dust from the construction site.",https://planetdetroit.org/2026/03/saline-data-center-traffic/
03/2026,"Saline, MI (Stargate)",Permitting,"Michigan Public Service Commission approves contracts with Oracle, allowing the project to move forward.",https://michiganadvance.com/2026/03/31/nessel-officials-use-town-hall-to-demand-transparency-amid-michigans-ai-expansion/
08/21/2025,"Claude, TX (Goodnight)",Permitting,Project Registered with TDLR,https://www.tdlr.texas.gov/TABS/Projects/TABS2025026470
08/25/2025,"Claude, TX (Goodnight)",Construction,Construction Start Date,https://www.tdlr.texas.gov/TABS/Projects/TABS2025026470
08/24/2026,"Claude, TX (Goodnight)",Construction,Construction Completion Date,https://www.tdlr.texas.gov/TABS/Projects/TABS2025026470
11/12/2024,"Claude, TX (Goodnight)",Permitting,Tax Abatement Agreement Phase 1 Signed,https://www.co.armstrong.tx.us/upload/page/5361/docs/2024/NOV/Phase%201%20Tax%20Abatement%20Agreement%20-%20Signed.pdf
11/12/2024,"Claude, TX (Goodnight)",Permitting,Tax Abatement Agreement Phase 2 Signed,https://www.co.armstrong.tx.us/upload/page/5361/docs/2024/NOV/Phase%202%20Tax%20Abatement%20Agreement.pdf
08/23/2025,"Claude, TX (Goodnight)",Project & Strategy,Crusoe Announces Goodnight Campus,https://www.aterio.io/blog/crusoe-launches-usd29b-goodnight-campus-in-claude-mirroring-openai-s-stargate
11/24/2025,"Claude, TX (Goodnight)",Project & Strategy,Google Announces Data Center in Armstrong County,https://abc7amarillo.com/news/local/google-announces-new-data-center-in-armstrong-county-texas-judge-adam-ensey-crusoe-energy-ercot-southwest-power-pool-claude-texas
02/2025,"Santa Teresa, NM (Project Jupiter)",Project & Strategy,New Mexico Governor announces partnership with BorderPlex for a $5 billion data center campus in Santa Teresa.,https://www.governor.state.nm.us/2025/02/25/governor-announces-partnership-with-borderplex-digital-digital-infrastructure-campus-represents-5-billion-investment-in-santa-teresa-expected-to-create-1000-jobs/
08/2025,"Santa Teresa, NM (Project Jupiter)",Permitting,Doña Ana County board of supervisors gives preliminary approval for a $165bn bond.,https://www.datacenterdynamics.com/en/news/stack-joins-multi-billion-dollar-data-center-microgrid-project-in-new-mexico/
09/2025,"Santa Teresa, NM (Project Jupiter)",Permitting,Final vote on the bond by the Doña Ana County board of supervisors.,https://www.donaana.gov/news_detail_T7_R35.php
Late 2025,"Santa Teresa, NM (Project Jupiter)",Construction,Construction to begin.,https://www.donaana.gov/news_detail_T7_R35.php
2026,"Santa Teresa, NM (Project Jupiter)",Operation,Operations to begin.,https://www.datacenterdynamics.com/en/news/stack-joins-multi-billion-dollar-data-center-microgrid-project-in-new-mexico/
